gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Support_Tickets,App_Logins,Data_Usage_GB,Gouvernorat
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,7,0,18.55,Bizerte
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,2,27,16.71,Nabeul
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,9,1,39.89,Sfax
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,2,24,145.87,Sfax
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,8,2,26.08,Médiénine
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,4,30,52.64,Kef
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,14,129.79,Jendouba
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,27,82.26,Nabeul
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,9,2,8.41,Sousse
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,5,3,9.06,Kairouan
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,4,15,26.11,Sousse
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,5,1,16.44,Tunis
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,1,17,59.65,Sousse
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,2,11,27.64,Tunis
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,2,20,122.15,Monastir
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,1,26,108.9,Siliana
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,3,23,105.87,Médiénine
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,3,16,57.54,Manouba
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,8,0,7.82,Tunis
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,1,20,12.49,Ben Arous
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,8,0,33.0,Tunis
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,5,4,43.84,Sousse
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,One year,No,Mailed check,49.55,475.7,No,4,11,148.82,Sfax
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,4,27,70.81,Monastir
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,8,60.34,Sousse
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,3,11,22.56,Monastir
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,23,20.43,Kasserine
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1,7,81.75,Tataouine
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,4,25,68.37,Gafsa
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,5,2,11.51,Kairouan
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,2,13,132.83,Sousse
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,4,19,72.31,Sfax
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,1,14,98.34,Kasserine
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,10,1,41.37,Mahdia
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,2,18,130.48,Nabeul
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,10,2,16.41,Tunis
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,2,8,50.14,Tozeur
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,5,5,29.5,Kasserine
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,1,18,114.14,Sfax
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,2,19,124.25,Bizerte
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,4,19,147.46,Tunis
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,2,29,50.02,Sfax
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,3,27,79.03,Sfax
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,4,14,118.22,Bizerte
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,4,12,130.35,Manouba
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,3,14,20.19,Sousse
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,6,0,15.85,Sousse
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,3,20,121.52,Bizerte
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,4,28,88.26,Kasserine
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2,20,69.65,Monastir
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,1,17,55.3,Sfax
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,1,16,52.2,Mahdia
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,1,5,111.83,Sfax
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,1,29,58.56,Kairouan
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,3,25,82.16,Ben Arous
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,6,16.61,Manouba
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,3,27,118.97,Bizerte
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,3,6,17.99,Sousse
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,3,28,60.64,Kairouan
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,4,23,106.7,Nabeul
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,21,46.57,Médiénine
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,3,27,118.04,Ariana
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,4,0,35.67,Tunis
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,15,122.69,Kairouan
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,9,3,38.22,Sousse
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,2,18,20.88,Bizerte
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,4,6,83.5,Kef
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,2,30,36.55,Médiénine
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,4,19,39.13,Tunis
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,4,29,38.95,Manouba
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,2,24,143.99,Kebili
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,1,23,51.03,Kairouan
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2,12,47.91,Kasserine
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,4,24,27.27,Ben Arous
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,4,12,135.51,Béja
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,5,40.86,Sousse
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,2,23,60.95,Sousse
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,7,3,35.68,Sfax
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,4,15,131.56,Sousse
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,10,1,31.15,Sfax
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,11,67.74,Sousse
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,7,2,11.11,Tataouine
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,3,13,87.55,Bizerte
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0,20,37.75,Kasserine
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,2,25,82.26,Béja
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,3,16,16.49,Bizerte
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,10,2,10.24,Ariana
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,3,16,17.41,Ben Arous
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,0,24,97.43,Jendouba
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,2,9,18.0,Jendouba
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,3,8,70.51,Médiénine
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,3,11,89.15,Ben Arous
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,5,3,18.49,Ariana
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,2,24,103.63,Nabeul
Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,2,23,41.69,Gabès
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,4,4,34.53,Béja
Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,0,23,54.67,Sousse
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,3,7,100.68,Tunis
Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,2,17,147.05,Gabès
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,6,2,37.33,Kairouan
Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,3,12,85.91,Tunis
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,1,29,125.34,Sfax
Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,3,19,101.75,Kasserine
Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,0,24,73.56,Manouba
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,9,3,43.32,Ariana
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,No,3,22,52.81,Tunis
Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No,3,24,36.24,Tunis
Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,No,0,28,138.9,Tunis
Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,7,3,6.18,Sfax
Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,2,10,29.81,Tunis
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,No,4,22,117.76,Sfax
Male,1,No,No,71,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,56.45,3985.35,No,1,8,111.32,Kasserine
Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No,1,16,43.19,Ben Arous
Female,0,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,8,4,30.35,Tunis
Male,0,No,No,67,Yes,No,DSL,No,No,No,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,No,2,11,132.45,Sfax
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,4,2,47.82,Tunis
Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,6,4,30.55,Sousse
Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,No,3,14,23.17,Ariana
Female,0,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No,1,25,128.38,Kef
Female,0,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,No,3,20,81.07,Béja
Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,1170.55,No,1,24,49.95,Monastir
Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,8,4,30.26,Bizerte
Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No,1,16,28.3,Tunis
Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,10,5,0.81,Sfax
Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No,4,15,29.21,Tunis
Male,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,No,4,9,69.95,Monastir
Male,1,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,No,3,9,120.44,Jendouba
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,No,4,6,130.24,Tunis
Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,61.35,No,2,23,110.93,Zaghouan
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,8,1,37.09,Ariana
Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,No,2,8,35.14,Sousse
Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,No,4,28,107.28,Tunis
Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No,3,30,77.87,Sfax
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,5,0,27.2,Jendouba
Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,No,3,13,95.66,Monastir
Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.1,5215.25,No,4,12,97.36,Kef
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,113.5,No,1,13,16.48,Sousse
Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No,0,17,133.48,Tunis
Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No,3,26,23.2,Nabeul
Male,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,419.9,No,2,16,33.61,Sidi Bouzid
Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,Yes,No,Two year,No,Mailed check,64.25,1024.0,No,2,26,42.08,Monastir
Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,251.6,No,2,17,109.72,Siliana
Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.0,764.55,No,4,6,38.23,Ben Arous
Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,8,1,21.22,Sousse
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,135.2,No,0,24,102.68,Kasserine
Male,0,No,No,53,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No,0,24,86.89,Kef
Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.6,233.9,No,2,25,11.16,Tozeur
Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1363.45,No,1,11,124.49,Sfax
